"Report","url","pdfurl","Date","CountryCodeISO3"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19362227/jamaica-country-partnership-strategy-period-fy2014-2017","Jamaica - Country partnership strategy for
            the period FY2014-2017","2014-05-12","JAM"
"Country Focus","http://documents.worldbank.org/curated/en/2012/02/15780007/jordan-country-partnership-strategy-period-fy11-fy15","Jordan - Country partnership strategy for
            the period FY11-FY15","2012-02-07","JOR"
"Country Focus","http://documents.worldbank.org/curated/en/2014/06/19712228/kenya-country-partnership-strategy-period-fy2014-18-vol-1-3-executive-summary","Executive summary","2014-06-25","KEN"
"Country Focus","http://documents.worldbank.org/curated/en/2013/06/17965636/kyrgyz-country-partnership-strategy-period-fy14-17","Kyrgyz - Country partnership strategy for
            the period FY14-17","2013-07-29","KGZ"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19402476/comoros-country-partnership-strategy-period-fy2014-2017","Comoros - Country partnership strategy for
            the period FY2014 - 2017","2014-05-12","COM"
"Country Focus","http://documents.worldbank.org/curated/en/2012/03/16220488/kazakhstan-country-partnership-strategy-period-fy12-fy17","Kazakhstan - Country partnership strategy
            for the period FY12-FY17","2012-04-16","KAZ"
"Country Focus","http://documents.worldbank.org/curated/en/2012/01/15808201/lao-peoples-democratic-republic-country-partnership-strategy-period-fy12-fy16","Lao People's Democratic Republic -
            Country partnership strategy for the period FY12-FY16","2012-03-12","LAO"
"Country Focus","http://documents.worldbank.org/curated/en/2015/06/24663519/lebanon-promoting-poverty-reduction-shared-prosperity-systematic-country-diagnostic","Lebanon - Promoting poverty reduction and
            shared prosperity : a systematic country diagnostic","2015-06-23","LBN"
"Country Focus","http://documents.worldbank.org/curated/en/2016/02/25895855/sri-lanka-ending-poverty-promoting-shared-prosperity","Sri Lanka - Ending poverty and promoting
            shared prosperity : a systematic country diagnostic","2016-02-11","LKA"
"Country Focus","http://documents.worldbank.org/curated/en/2015/07/24756158/lesotho-systematic-country-diagnostic","Lesotho - Systematic country diagnostic","2015-07-02","LSO"
"Country Focus","http://documents.worldbank.org/curated/en/2004/05/5002677/lithuania-country-partnership-strategy","Lithuania - Country Partnership Strategy","2010-06-24","LTU"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19368831/morocco-country-partnership-strategy-period-fy2014-2017","Morocco - Country partnership strategy for
            the period FY2014-2017","2014-05-12","MAR"
