"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"BHS",2013,"UNCTAD-SoP2",382030.092,NA,"N.Q.","Intermediate goods"
"BHS",2013,"UNCTAD-SoP3",2035119.555,NA,"N.Q.","Consumer goods"
"BHS",2013,"UNCTAD-SoP4",524554.93,NA,"N.Q.","Capital goods"
"BHS",2014,"UNCTAD-SoP1",273563.196,NA,"N.Q.","Raw materials"
"BHS",2014,"UNCTAD-SoP2",439863.735,NA,"N.Q.","Intermediate goods"
"BHS",2014,"UNCTAD-SoP3",2350511.937,NA,"N.Q.","Consumer goods"
"BHS",2014,"UNCTAD-SoP4",545910.207,NA,"N.Q.","Capital goods"
"BIH",2013,"UNCTAD-SoP1",1739024.568,NA,"N.Q.","Raw materials"
"BIH",2013,"UNCTAD-SoP2",2596491.593,NA,"N.Q.","Intermediate goods"
"BIH",2013,"UNCTAD-SoP3",4365417.647,NA,"N.Q.","Consumer goods"
"BIH",2013,"UNCTAD-SoP4",1462789.163,NA,"N.Q.","Capital goods"
"BIH",2014,"UNCTAD-SoP1",1687411.945,NA,"N.Q.","Raw materials"
"BIH",2014,"UNCTAD-SoP2",2728997.344,NA,"N.Q.","Intermediate goods"
"BIH",2014,"UNCTAD-SoP3",4632532.841,NA,"N.Q.","Consumer goods"
"BIH",2014,"UNCTAD-SoP4",1793034.536,NA,"N.Q.","Capital goods"
"BLR",2013,"UNCTAD-SoP1",11020060.9,NA,"N.Q.","Raw materials"
"BLR",2013,"UNCTAD-SoP2",9447882.5,NA,"N.Q.","Intermediate goods"
"BLR",2013,"UNCTAD-SoP3",11410562,NA,"N.Q.","Consumer goods"
"BLR",2013,"UNCTAD-SoP4",9453130.5,NA,"N.Q.","Capital goods"
"BLR",2014,"UNCTAD-SoP1",10703748.6,NA,"N.Q.","Raw materials"
"BLR",2014,"UNCTAD-SoP2",8224378.7,NA,"N.Q.","Intermediate goods"
"BLR",2014,"UNCTAD-SoP3",11627236.4,NA,"N.Q.","Consumer goods"
"BLR",2014,"UNCTAD-SoP4",7714811.9,NA,"N.Q.","Capital goods"
"BLZ",2013,"UNCTAD-SoP1",26590.676,NA,"N.Q.","Raw materials"
"BLZ",2013,"UNCTAD-SoP2",127454.954,NA,"N.Q.","Intermediate goods"
"BLZ",2013,"UNCTAD-SoP3",418514.652,NA,"N.Q.","Consumer goods"
"BLZ",2013,"UNCTAD-SoP4",142251.841,NA,"N.Q.","Capital goods"
"BLZ",2014,"UNCTAD-SoP1",30183.525,NA,"N.Q.","Raw materials"
"BLZ",2014,"UNCTAD-SoP2",141082.691,NA,"N.Q.","Intermediate goods"
"BLZ",2014,"UNCTAD-SoP3",638161.585,NA,"N.Q.","Consumer goods"
"BLZ",2014,"UNCTAD-SoP4",182729.448,NA,"N.Q.","Capital goods"
"BMU",2013,"UNCTAD-SoP1",63156.679,NA,"N.Q.","Raw materials"
"BMU",2013,"UNCTAD-SoP2",53073.09,NA,"N.Q.","Intermediate goods"
"BMU",2013,"UNCTAD-SoP3",638364.293,4608490,"Area  SM","Consumer goods"
"BMU",2013,"UNCTAD-SoP4",120553.053,NA,"N.Q.","Capital goods"
"BMU",2014,"UNCTAD-SoP1",64504.485,NA,"N.Q.","Raw materials"
"BMU",2014,"UNCTAD-SoP2",44691.8,539,"Area  SM","Intermediate goods"
"BMU",2014,"UNCTAD-SoP3",615574.803,2164322,"Area  SM","Consumer goods"
"BMU",2014,"UNCTAD-SoP4",113901.404,9594955,"Item","Capital goods"
"BOL",2013,"UNCTAD-SoP1",187719.476,NA,"N.Q.","Raw materials"
"BOL",2013,"UNCTAD-SoP2",2238329.398,NA,"N.Q.","Intermediate goods"
"BOL",2013,"UNCTAD-SoP3",3692299.241,NA,"N.Q.","Consumer goods"
"BOL",2013,"UNCTAD-SoP4",3156750.838,165399219,"Item","Capital goods"
"BOL",2014,"UNCTAD-SoP1",222003.398,NA,"N.Q.","Raw materials"
"BOL",2014,"UNCTAD-SoP2",2534443.309,NA,"N.Q.","Intermediate goods"
"BOL",2014,"UNCTAD-SoP3",3889140.467,NA,"N.Q.","Consumer goods"
"BOL",2014,"UNCTAD-SoP4",3772503.338,1923459051,"Item","Capital goods"
"BRA",2013,"UNCTAD-SoP1",28170003.181,NA,"N.Q.","Raw materials"
"BRA",2013,"UNCTAD-SoP2",61591988.554,NA,"N.Q.","Intermediate goods"
"BRA",2013,"UNCTAD-SoP3",67066464.977,NA,"N.Q.","Consumer goods"
"BRA",2013,"UNCTAD-SoP4",81848462.371,NA,"N.Q.","Capital goods"
"BRA",2014,"UNCTAD-SoP1",26719053.647,NA,"N.Q.","Raw materials"
"BRA",2014,"UNCTAD-SoP2",60905172.501,NA,"N.Q.","Intermediate goods"
"BRA",2014,"UNCTAD-SoP3",65185986.623,NA,"N.Q.","Consumer goods"
"BRA",2014,"UNCTAD-SoP4",75324190.491,27329214005,"Item","Capital goods"
"BRB",2013,"UNCTAD-SoP1",118897.184,NA,"N.Q.","Raw materials"
"BRB",2013,"UNCTAD-SoP2",180268.927,NA,"N.Q.","Intermediate goods"
"BRB",2013,"UNCTAD-SoP3",1174198.8,NA,"N.Q.","Consumer goods"
"BRB",2013,"UNCTAD-SoP4",271352.726,NA,"N.Q.","Capital goods"
"BRB",2014,"UNCTAD-SoP1",118345.738,NA,"N.Q.","Raw materials"
"BRB",2014,"UNCTAD-SoP2",180019.426,NA,"N.Q.","Intermediate goods"
"BRB",2014,"UNCTAD-SoP3",1156947.816,NA,"N.Q.","Consumer goods"
"BRB",2014,"UNCTAD-SoP4",261115.056,NA,"N.Q.","Capital goods"
"BRN",2013,"UNCTAD-SoP1",173860.969,NA,"N.Q.","Raw materials"
"BRN",2013,"UNCTAD-SoP2",601039.096,NA,"N.Q.","Intermediate goods"
"BRN",2013,"UNCTAD-SoP3",1837860.349,NA,"N.Q.","Consumer goods"
"BRN",2013,"UNCTAD-SoP4",946242.154,NA,"N.Q.","Capital goods"
"BRN",2014,"UNCTAD-SoP1",170026.433,757685,"Item","Raw materials"
"BRN",2014,"UNCTAD-SoP2",497779.212,NA,"N.Q.","Intermediate goods"
"BRN",2014,"UNCTAD-SoP3",1795869.301,NA,"N.Q.","Consumer goods"
"BRN",2014,"UNCTAD-SoP4",1088688.882,NA,"N.Q.","Capital goods"
"BWA",2013,"UNCTAD-SoP1",2252405.39,NA,"N.Q.","Raw materials"
"BWA",2013,"UNCTAD-SoP2",1013931.251,NA,"N.Q.","Intermediate goods"
"BWA",2013,"UNCTAD-SoP3",2795795.129,NA,"N.Q.","Consumer goods"
"BWA",2013,"UNCTAD-SoP4",1249246.303,NA,"N.Q.","Capital goods"
"BWA",2014,"UNCTAD-SoP1",2771755.076,NA,"N.Q.","Raw materials"
"BWA",2014,"UNCTAD-SoP2",905407.938,NA,"N.Q.","Intermediate goods"
"BWA",2014,"UNCTAD-SoP3",2760657.848,NA,"N.Q.","Consumer goods"
"BWA",2014,"UNCTAD-SoP4",1270040.164,NA,"N.Q.","Capital goods"
"CAF",2013,"UNCTAD-SoP1",3768.511,6360971,"Kg","Raw materials"
"CAF",2013,"UNCTAD-SoP2",34843.037,NA,"N.Q.","Intermediate goods"
"CAF",2013,"UNCTAD-SoP3",65908.546,NA,"N.Q.","Consumer goods"
"CAF",2013,"UNCTAD-SoP4",24345.639,NA,"N.Q.","Capital goods"
"CAF",2014,"UNCTAD-SoP1",20451.211,NA,"N.Q.","Raw materials"
"CAF",2014,"UNCTAD-SoP2",33500.718,NA,"N.Q.","Intermediate goods"
"CAF",2014,"UNCTAD-SoP3",161104.151,NA,"N.Q.","Consumer goods"
"CAF",2014,"UNCTAD-SoP4",91807.716,NA,"N.Q.","Capital goods"
"CAN",2013,"UNCTAD-SoP1",48683546.591,NA,"N.Q.","Raw materials"
"CAN",2013,"UNCTAD-SoP2",81200306.584,NA,"N.Q.","Intermediate goods"
"CAN",2013,"UNCTAD-SoP3",159267098.714,NA,"N.Q.","Consumer goods"
"CAN",2013,"UNCTAD-SoP4",156915055.099,NA,"N.Q.","Capital goods"
"CAN",2014,"UNCTAD-SoP1",45025773.01,NA,"N.Q.","Raw materials"
"CAN",2014,"UNCTAD-SoP2",82588477.775,NA,"N.Q.","Intermediate goods"
"CAN",2014,"UNCTAD-SoP3",162882579.482,NA,"N.Q.","Consumer goods"
"CAN",2014,"UNCTAD-SoP4",156941449.2,NA,"N.Q.","Capital goods"
"CHE",2013,"UNCTAD-SoP1",10752989.69,NA,"N.Q.","Raw materials"
"CHE",2013,"UNCTAD-SoP2",174095351.378,NA,"N.Q.","Intermediate goods"
"CHE",2013,"UNCTAD-SoP3",89507803.348,NA,"N.Q.","Consumer goods"
"CHE",2013,"UNCTAD-SoP4",44771655.027,NA,"N.Q.","Capital goods"
"CHE",2014,"UNCTAD-SoP1",10667834.312,NA,"N.Q.","Raw materials"
"CHE",2014,"UNCTAD-SoP2",126381580.015,NA,"N.Q.","Intermediate goods"
"CHE",2014,"UNCTAD-SoP3",90572125.587,NA,"N.Q.","Consumer goods"
"CHE",2014,"UNCTAD-SoP4",45476394.465,NA,"N.Q.","Capital goods"
"CHL",2013,"UNCTAD-SoP1",11255196.675,NA,"N.Q.","Raw materials"
"CHL",2013,"UNCTAD-SoP2",11680932.319,NA,"N.Q.","Intermediate goods"
"CHL",2013,"UNCTAD-SoP3",31196853.756,NA,"N.Q.","Consumer goods"
"CHL",2013,"UNCTAD-SoP4",23804417.922,NA,"N.Q.","Capital goods"
"CHL",2014,"UNCTAD-SoP1",10388073.703,NA,"N.Q.","Raw materials"
"CHL",2014,"UNCTAD-SoP2",11341524.639,NA,"N.Q.","Intermediate goods"
"CHL",2014,"UNCTAD-SoP3",29565981.497,68097717,"Area  SM","Consumer goods"
"CHL",2014,"UNCTAD-SoP4",19842755.058,NA,"N.Q.","Capital goods"
"CHN",2013,"UNCTAD-SoP1",538529057.999,NA,"N.Q.","Raw materials"
"CHN",2013,"UNCTAD-SoP2",343502258.834,NA,"N.Q.","Intermediate goods"
"CHN",2013,"UNCTAD-SoP3",205087875.908,NA,"N.Q.","Consumer goods"
"CHN",2013,"UNCTAD-SoP4",596200347.602,595772129703,"Item","Capital goods"
"CHN",2014,"UNCTAD-SoP1",525828074.464,NA,"N.Q.","Raw materials"
"CHN",2014,"UNCTAD-SoP2",368669695.987,NA,"N.Q.","Intermediate goods"
"CHN",2014,"UNCTAD-SoP3",222617922.691,NA,"N.Q.","Consumer goods"
"CHN",2014,"UNCTAD-SoP4",609196969.332,NA,"N.Q.","Capital goods"
"CIV",2013,"UNCTAD-SoP1",3857970.162,NA,"N.Q.","Raw materials"
"CIV",2013,"UNCTAD-SoP2",1801622.706,NA,"N.Q.","Intermediate goods"
"CIV",2013,"UNCTAD-SoP3",2394499.716,NA,"N.Q.","Consumer goods"
"CIV",2013,"UNCTAD-SoP4",4365925.831,NA,"N.Q.","Capital goods"
"CIV",2014,"UNCTAD-SoP1",3551375.458,NA,"N.Q.","Raw materials"
"CIV",2014,"UNCTAD-SoP2",2105411.016,NA,"N.Q.","Intermediate goods"
"CIV",2014,"UNCTAD-SoP3",2863011.603,NA,"N.Q.","Consumer goods"
"CIV",2014,"UNCTAD-SoP4",2582659.383,NA,"N.Q.","Capital goods"
"CMR",2014,"UNCTAD-SoP1",1992557.115,NA,"N.Q.","Raw materials"
"CMR",2014,"UNCTAD-SoP2",1451990.428,NA,"N.Q.","Intermediate goods"
"CMR",2014,"UNCTAD-SoP3",2431370.528,NA,"N.Q.","Consumer goods"
"CMR",2014,"UNCTAD-SoP4",1656923.118,NA,"N.Q.","Capital goods"
"COG",2013,"UNCTAD-SoP1",247408.876,NA,"N.Q.","Raw materials"
"COG",2013,"UNCTAD-SoP2",595657.139,NA,"N.Q.","Intermediate goods"
"COG",2013,"UNCTAD-SoP3",1065553.595,NA,"N.Q.","Consumer goods"
"COG",2013,"UNCTAD-SoP4",6451852.901,NA,"N.Q.","Capital goods"
"COG",2014,"UNCTAD-SoP1",273393.417,NA,"N.Q.","Raw materials"
"COG",2014,"UNCTAD-SoP2",806854.237,NA,"N.Q.","Intermediate goods"
"COG",2014,"UNCTAD-SoP3",1069368.215,NA,"N.Q.","Consumer goods"
"COG",2014,"UNCTAD-SoP4",1171157.977,NA,"N.Q.","Capital goods"
"COL",2013,"UNCTAD-SoP1",3325434.359,NA,"N.Q.","Raw materials"
"COL",2013,"UNCTAD-SoP2",15249417.117,NA,"N.Q.","Intermediate goods"
"COL",2013,"UNCTAD-SoP3",19867594.169,NA,"N.Q.","Consumer goods"
