"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"JOR",2013,7929,9.986,1145,"Kg","Parts, n.e.s. (not including tyres,"
"JOR",2013,8813,9.697,NA,"N.Q.","Photographic and cinematographic ap"
"JOR",2013,7492,9.639,592,"Kg","Gaskets & similar joints of metal s"
"JOR",2013,2690,9.255,35043,"Kg","Worn clothing and other worn textil"
"JOR",2013,6952,8.874,12000,"Kg","Handsaws, files, rasps, pliers, pin"
"JOR",2013,8416,8.787,NA,"N.Q.","Singlets and other vests, underpant"
"JOR",2013,6419,8.275,1000,"Kg","Converted paper and paperboard, n.e"
"JOR",2013,6524,8.241,1700,"Kg","Other woven fabrics, containing 85%"
"JOR",2013,7764,8.234,NA,"N.Q.","Electronic integrated circuits"
"JOR",2013,5243,8.207,24100,"Kg","Salts of metal acids; organic and i"
"JOR",2013,8731,8.17,NA,"N.Q.","Gas, liquid or electricity supply o"
"JOR",2013,6756,7.73,2100,"Kg","Flat-rolled products of other alloy"
"JOR",2013,5999,7.46,47300,"Kg","Other wastes from chemical/allied i"
"JOR",2013,743,7.197,2082,"Kg","MatT; extracts, essences and concen"
"JOR",2013,7169,7.042,2000,"Kg","Parts, n.e.s., suitable for use wit"
"JOR",2013,6211,6.95,2145,"Kg","Compounded rubber, unvulcanized, in"
"JOR",2013,7783,6.683,NA,"N.Q.","Electrical equipment, n.e.s., for i"
"JOR",2013,6712,6.649,1697,"Kg","Pig-iron and spiegeleisen, in pigs,"
"JOR",2013,6533,6.62,260,"Kg","Fabrics, woven, of synthetic staple"
"JOR",2013,7528,6.587,NA,"N.Q.","Other units of automatic data proce"
"JOR",2013,8741,6.577,NA,"N.Q.","Compasses; other navigational instr"
"JOR",2013,2815,6.575,235102,"Kg","Iron ores & concentrates, not agglo"
"JOR",2013,8514,6.307,220,"Pair","Other footwear with uppers of leath"
"JOR",2013,8311,6.269,NA,"N.Q.","Handbags, whether or not with shoul"
"JOR",2013,7374,6.193,NA,"N.Q.","Machinery and apparatus for solderi"
"JOR",2013,6965,6.133,60,"Kg","Other articles of cutlery (e.g., ha"
